店家名稱,產品名稱,店家商品數量,店家評價,店家出貨天數,店家回覆率,特價,折數,商品評分,購買人數
好buy家電生活館,現貨【SHARP 夏普】8.5L DW-L8HT-W 自動除菌離子 除濕機 自動偵測除濕 一級節能,461,4.8,0.9,100%,8540,100,4.9 ,95 
好buy家電生活館,【ZOJIRUSHI 象印】NL-AAF10 6人份 微電腦 電子鍋 附蒸籠 日本製,461,4.8,0.9,100%,3439,100,4.9 ,49 
小蔡電器-免比價最低價,日立家電【RHSF53NJSW】527公升六門(與RHSF53NJ同)冰箱SW消光白(回函贈),5546,4.7,1.9,100%,57408,100,0 ,1 
全球3C通訊,BLUETTI EB70S 716Wh 磷酸鐵鋰電池 儲能電源 800W輸出 PD3.0 無線充電,5,--,0.5,100%,18522,100,0 ,5 
康諾健康生活館,【歐姆龍OMRON】 體重體脂計 HBF-371,644,4.8,0.6,100%,2980,100,4.8 ,"1,224"
康諾健康生活館,【歐姆龍OMRON】藍芽體重體脂肪計 HBF-222T,644,4.8,0.6,100%,2580,100,4.9 ,348 
小蔡電器-免比價最低價,三菱【MR-JX53C-W-C】6門525公升絹絲白冰箱(含標準安裝),5546,4.7,1.9,100%,50977,100,0 ,1 
SANSUI 山水,【MUNICHI 沐尼黑】水潤負離子溫控捲髮器/自動捲髮器/捲髮棒/電捲棒(MR.Curler),37,4.5,0.8,100%,1723,100,5 ,30 
Hoya好優生活館,"【強力榨油機】歐霖不鏽鋼全自動智能榨油機 SX-TB05，2000W最強功率(台灣研發,台灣製造)",5,--,0.9,100%,24795,100,0 ,2 
全球3C通訊,Fossibot F2400 儲能電源 2048Wh/2400W輸出 磷酸鐵鋰電池 16口充電,5,--,0.5,100%,49980,100,0 ,2 
小蔡電器-免比價最低價,格力【GPR-36HO/GPR-36HI】變頻冷暖分離式冷氣,5546,4.7,1.9,100%,24111,100,0 ,2 
HomeBox居家盒子,【升級電動款🔥】自動切菜器 自動料理機 無線料理器 自動絞肉器 廚房神器 切菜機,535,4.6,1.6,100%,178,100,4.2 ,310 
富康世界 健康輔具生活館,【母親節特惠價】歐姆龍 體脂計 HBF-371 出貨即折現100,12,4.9,0.6,100%,3080,100,4.9 ,368 
好buy家電生活館,【SANLUX 台灣三洋】16吋 DC 變頻 可遙控 電扇 風扇 立扇 EF-16DRA,461,4.8,0.9,100%,1529,100,4.9 ,90 
永鈺電器有限公司,MIPRO MA-789配1手握式+1頭戴式UHF雙頻道無線擴音機2023年最新藍芽CDM3A新系統,907,4.9,0.7,100%,42182,100,0 ,1 
好buy家電生活館,【大同電鍋】11人份 #316全不鏽鋼 電鍋 全配 台灣製造 TAC-11HN-M,461,4.8,0.9,100%,5689,100,4.7 ,133 
暐達名品家電,伊萊克斯 完美管家3in1吸塵器 UV淨螨科技 ZB3324B 贈原廠好禮 ZB3324 公司貨兩年,88,4.9,1.5,100%,6690,100,4.9 ,61 
小蔡電器-免比價最低價,美的【MVC-J36HA/MVS-J36HA】變頻冷暖分離式冷氣,5546,4.7,1.9,100%,19722,100,0 ,2 
良威商城3C數位購物網,微軟 Microsoft Office 2021 家用版 中文數位下載版,116,4.8,1.1,100%,3549,100,4.7 ,360 
丹丹手配館,iwalk 四代 4500mAh口袋行動電源lightning蘋果頭/Type-C接頭,617,4.7,0.9,100%,590,100,4.7 ,202 
良威商城3C數位購物網,微軟 Microsoft Office 2019 家用及中小企業 盒裝版,116,4.8,1.1,100%,7380,100,5 ,126 
新竹簡單生活館,【Maytag美泰克】16公斤瓦斯型滾筒乾衣機 送 美膳雅專業湯鍋 含安裝 8TMGD6630HW,360,4.8,0.7,100%,36140,100,0 ,1 
好buy家電生活館,【大同電鍋】15人份 #304全不鏽鋼 電鍋 全配 台灣製造 TAC-15T-NM,461,4.8,0.9,100%,6889,100,5 ,27 
好買網,Electrolux 伊萊克斯 18V Well Q6 無線吸塵器 (WQ61-1OGG),23,4.9,0.5,100%,4888,100,0 ,15 
LEAF小葉子3C購物,Xiaomi 小米 米家手持無線吸塵器 G9 吸力續航雙強勁 12錐旋風離塵 高效除蟎 壁掛收納架,174,4.8,0.6,100%,4199,100,4.7 ,87 
禾統光電科技有限公司,【禾統】台灣現貨 H7智慧型投影機 繁體中文介面 無線投影 內建APP HDMI 家用投影機 手機,153,4.6,0.4,100%,4775,100,4.7 ,65 
台北3C家電館,Panasonic國際牌 蒸烘烤微波爐 NN-BS1700,133,4.8,0.6,100%,32260,100,0 ,1 
小蔡電器-免比價最低價,格力【GPR-50HO/GPR-50HI】變頻冷暖分離式冷氣,5546,4.7,1.9,100%,32186,100,0 ,1 
富康世界 健康輔具生活館,【歐姆龍體脂計】OMRON歐姆龍體重體脂計HBF-217 母親節限量特價,12,4.9,0.6,100%,1750,100,4.9 ,241 
大大淨水,PURETRON普立創TPCCH-689A2觸控型溫控冰冷熱三溫櫥下飲水機 搭配愛惠浦三道淨水器,605,4.8,0.9,99%,32144,100,5 ,2 
康諾健康生活館,【歐姆龍OMRON】 體重體脂計HBF-217,644,4.8,0.6,100%,1780,100,4.9 ,525 
康廚居家,Humidry 浴室濕氣剋星-除濕換氣扇/日本沸石除濕/免排水免倒水/智能暖房乾衣/室內循環 無安裝,116,4.8,1.2,100%,31076,100,0 ,4 
承泓企業,CZUR Shine Ultra 秒速攜帶式高拍儀,182,4.6,0.8,99%,7742,100,4.9 ,116 
良威商城3C數位購物網,【最後現貨】微軟 Windows 10 專業中文版 完整盒裝版 Win 10 Pro,116,4.8,1.1,100%,5900,100,4.9 ,58 
百科數位3C,HP W2040X-43X(416X) 4色高容量原廠碳粉匣 適用HP M454 / M479,281,4.9,0.7,100%,30380,100,5 ,2 
永鈺電器有限公司,MIPRO MA-389 配2手握麥克風 ACT雙頻手提無線喊話器 2023年 藍芽最新版,907,4.9,0.7,100%,30154,100,0 ,1 
佳電專營店,《全新保固二年+贈2磅咖啡豆》Philips Saeco EP2220 飛利浦 全自動 義式咖啡機,103,4.8,0.6,100%,14500,100,5 ,29 
小蔡電器-免比價最低價,象印【NW-JBF18】10人份IH電子鍋,5546,4.7,1.9,100%,14307,100,0 ,4 
自由數位精品企業社,【贈送皮套】Nokia T21平板 TA-1487 wifi版 4+128G 10.4吋 聯強公司貨,53,4.9,0.5,100%,7340,100,5 ,7 
家殿城,CFH B17B1DCR-F 奈米科技清淨機,831,4.8,0.5,99%,14700,100,0 ,2 
好buy家電生活館,【LG】PuriCare 360°空氣清淨機 （雙層）抗敏HEPA濾網 AS101DWH0,461,4.8,0.9,100%,27989,100,0 ,1 
小蔡電器-免比價最低價,格力【GPR-41HO/GPR-41HI】變頻冷暖分離式冷氣,5546,4.7,1.9,100%,27588,100,0 ,1 
臺灣高空影音旗艦館,MARSHALL EMBERTON II 攜帶式防水 藍芽喇叭 台灣公司貨 保固540天,518,4.9,0.6,100%,6490,100,5 ,6 
新竹簡單生活館,【BRISE】抗敏最有感的空氣清淨機C600,360,4.8,0.7,100%,21999,100,0 ,1 
日本JANOME車樂美縫衣機,日本車樂美JANOME 氣動式拷克機2000D 加送11件壓布腳組合,70,5,0.7,100%,22569,100,5 ,3 
玖號倉庫,【免運】ambie同款無線藍牙耳機 耳夾式耳機 藍芽耳機 無線耳機 運動耳機,108,4.5,0.6,100%,507,100,4.4 ,91 
小蔡電器-免比價最低價,LG樂金【GN-L332BS】335公升雙門冰箱,5546,4.7,1.9,100%,20900,100,0 ,1 
新竹簡單生活館,【Electrolux 伊萊克斯】PURE I9.2型動智能掃地機器人 礦石灰 PI92-6SGM,360,4.8,0.7,100%,21500,100,5 ,3 
祥閎股份有限公司,日虎 高桶上掀式水療泡腳機（石墨烯款）/ 年度最新款 /水柱噴淋式水療 - 贈20包入藥草包,6,4.7,0.8,100%,4210,100,5 ,7 
LTP,10吋高清多媒體電子相框影音顯示器,24,4.6,0.9,100%,1754,100,4.9 ,143 
Reddot life,超聲波光感變頻驅鼠驅蚊器,244,4.5,0.9,100%,217,100,4.5 ,653 
好buy家電生活館,【ZOJIRUSHI 象印】NP-ZAF18 10人份 壓力IH 電子鍋 日本製,461,4.8,0.9,100%,9899,100,0 ,7 
RNG行動館,小米米兔兒童電話手錶6C 米兔手錶 兒童定位手錶 兒童學習智慧手錶 觸控式螢幕 智能電話 視訊通話,237,4.6,0.9,100%,2399,100,4.6 ,162 
新竹簡單生活館,【Electrolux 伊萊克斯】25L獨立式燒烤微波爐 極致美味500 EMG25D22BM,360,4.8,0.7,100%,4890,100,0 ,7 
玖號倉庫,【免運】iWALK加長版行動電源 迷你行充 行動電源 口袋行充 隨身行充 行充 充電,108,4.5,0.6,100%,580,100,4.9 ,81 
血拚實驗室,智慧光觸媒清淨除濕機,299,4.4,0.8,100%,1199,100,4.3 ,"1,169"
倫兒小舖,Q09單軸穩定器 可拆式前後補光 CYKE自拍桿 藍牙自拍棒 自拍神器,98,4.5,0.6,99%,861,100,4.4 ,44 
AIDATA 愛得他,AIDATA 愛得他 5.1~13吋萬用手機/平板電腦落地支架 US-5006W,64,4.8,0.9,99%,1258,100,5 ,56 
小蔡電器-免比價最低價,禾聯【HI-N28H/HO-N28H】變頻冷暖分離式冷氣,5546,4.7,1.9,100%,18288,100,0 ,1 
3C生活助手,【Mr.Smart】小紫二代 紅綠燈 UV除蟎吸塵器 內附 HEPA濾網1顆+贈6顆濾網 一年保固,106,4.8,1.1,100%,1980,100,5 ,25 
佳美百事購有限公司,【inadays 捕蚊達人】四維仿生捕蚊燈 GR-500 基本款,522,4.7,1.6,100%,949,100,4.6 ,230 
這幾些＆那幾些,小米Xiaomi智慧直流變頻風扇 2,38,4.9,0.6,100%,1850,100,5 ,33 
小蔡電器-免比價最低價,三星【UA55TU8500WXZW】55吋4K電視(含標準安裝),5546,4.7,1.9,100%,17879,100,0 ,1 
Star candy,【STAR CANDY】M85 通話手錶 (台灣聯發科芯片) 智能手錶 智能手環 智慧手錶 生日,427,4.6,0.8,100%,783,100,4.5 ,704 
楊過與姑姑,19.5吋(2T)小迪電容屏 點唱機 點歌機 電容式觸控 雲端歌庫85萬 伴唱機 KTV 卡拉ok,47,4.5,1.2,100%,17399,100,0 ,1 
RNG行動館,小米米兔兒童電話手錶6X 米兔手錶 兒童定位手錶 兒童學習智慧手錶 觸控式螢幕 智能電話 視訊通話,237,4.6,0.9,100%,3399,100,4.7 ,612 
海渥智能科技,Logitech羅技 C922 PRO 視訊鏡頭 電腦視訊鏡頭,15,4.6,0.7,100%,2764,100,0 ,7 
海渥智能科技,Logitech羅技 C930C 視訊鏡頭 1080P網路攝像頭 90度廣角4倍變焦1500萬畫素,15,4.6,0.7,100%,2513,100,5 ,24 
家殿城,象印 NW-JBF18 白金厚釜壓力IH微電腦10人份電子鍋,831,4.8,0.5,99%,16290,100,0 ,1 
祥閎股份有限公司,日虎 高桶SPA按摩泡腳機,6,4.7,0.8,100%,2380,100,4.7 ,"1,664"
ikanolife宜卡逽生活工坊,C-FORCE 15.6吋4K HDR行動觸控螢幕_台灣代理公司貨_CF015XT_一年保固_Swi,791,4.7,0.7,100%,16095,100,0 ,1 
海山媽咪團購網,【Remax】多合一 行動電源 15000mAh PD QC3.0 18W快充行動電源,399,4.4,1,99%,1127,100,4.7 ,172 
二弄九號,【LaPO】多功能無線充行動電源(WT-03CM),58,4.6,0.9,100%,1780,100,5 ,21 
Fashion數位家電,【奧的思ARTISAN】2.5L數位全自動冰淇淋機 IC2581,289,4.8,0.7,100%,15990,100,0 ,1 
GAME休閒館,【獨家品牌月】羅技 《Mx Mechanical & Master 3S 無線鍵盤滑鼠組》【現貨】,1074,4.9,1.6,100%,7990,100,5 ,9 
昌運科技監視器,大華 DH-IPC-HDW2831TMN-AS-S2 8MP半球型紅外線網路攝影機 IP cam,2589,4.6,0.9,99%,8232,100,5 ,4 
詮霸天電器商城,【送拆箱定位】 SANLUX 台灣三洋 250公升一級變頻雙門電冰箱SR-C250BV1A,356,4.8,1,100%,15900,100,5 ,1 
良威商城3C數位購物網,HP 416X W2043X 原廠高容量紅色碳粉匣(適用 M454/M479系列),116,4.8,1.1,100%,8180,100,0 ,2 
office24列印倉庫,【新晶片】G&G HP W2110X／W2111X／W2112X／W2113X（206X）碳粉－組合,3203,4.8,0.5,100%,7876,100,0 ,4 
自由數位精品企業社,【附玻璃貼】GPLUS A5 智慧型資安機 無相機 無錄音 無傳輸 6.75吋雙卡機 科技園區專用機,53,4.9,0.5,100%,7624,100,0 ,2 
小蔡電器-免比價最低價,大同【TAC-20L-DGU】20人份綠色電鍋,5546,4.7,1.9,100%,3762,100,5 ,17 
Opure 臻淨科技,【Opure 臻淨】A7免耗材靜電集塵電漿抑菌DC直流空氣清淨機 ★搭配車用清淨機組合包★,39,4.7,0.6,100%,15484,100,0 ,4 
丹丹手配館,【正版授權】SNOOPY史努比 掃吸拖 三合一掃地機 掃地機器人,617,4.7,0.9,100%,861,100,4 ,51 
怡眾百貨名品家電,【贈第一道和第三道濾芯各一組】acerpure aqua冰溫瞬熱RO濾淨飲水機 WP742-40W,320,4.9,0.8,100%,14800,100,5 ,3 
Fashion數位家電,下殺促銷！【禾聯HERAN】微電腦製冰機 HWS-18XBC7B,289,4.8,0.7,100%,4780,100,5 ,10 
小蔡電器-免比價最低價,三菱【MR-FC31EP-SSL-C】288公升雙門太空銀冰箱(含標準安裝),5546,4.7,1.9,100%,14202,100,0 ,1 
大元電器有限公司,【Kolin歌林】水過濾全能吸塵器 吸塵器 KTC-BH1202WA (KTC-A1202WA),269,4.7,0.5,100%,2920,100,4.8 ,42 
就便宜購物網,(福利品有刮傷)Panasonic國際牌 KX-TGE110TW 大螢幕．大按鍵．數位無線電話,247,4.7,0.7,100%,1254,100,5 ,19 
小蔡電器-免比價最低價,SANLUX台灣三洋【SAE-28S1/SAC-28S1】定頻分離式冷氣4坪(含標準安裝),5546,4.7,1.9,100%,14098,100,0 ,1 
小蔡電器-免比價最低價,東元【TL43A8TRE】東元43吋FHD顯示器(無安裝),5546,4.7,1.9,100%,6850,100,0 ,2 
大元電器有限公司,晶工 18吋超循環涼風扇 LV-1868 電風扇 立扇,269,4.7,0.5,100%,979,100,4.7 ,425 
hobe Enjoy Life,台灣現貨🔥 iWALK 第四代 鑲鑽 行動電源 4500mAh 加長版 充電寶 口袋寶,1635,4.6,2.5,100%,833,100,4.8 ,66 
晶讚企業社,iWALK pro 直插式電量顯示行動電源 │行動電源 │5代,251,4.6,0.8,100%,760,100,4.5 ,30 
答通股份有限公司,UIPIN辦公室(4滾輪)A3護貝機 (外加熱型) UT320 ∥超靜音∥加熱快∥,545,4.5,1,100%,3487,100,5 ,16 
GOOFINDS 谷凡生活,【GOOFINDS】無線洗地機 三合一 吸塵拖地洗地 一鍵自清潔 超輕量3kg 強力牽引,4,5,0.9,100%,7473,100,5 ,5 
Future Lab. 未來實驗室,【Future Lab. 未來實驗室】Stermidi殺菌除濕機 除濕機 空氣清淨除濕機 防潮 除霉,39,4.7,1.1,99%,1899,100,4.7 ,91 
酷樂館,【FUTURE LAB. 未來實驗室】Stermidi殺菌除濕機,93,4.7,0.8,100%,1899,100,0 ,24 
鑫通訊精品館-家電-3C-電玩/0卡分期,【0卡分期】APPLE Watch 8 GPS 45mm 蘋果手錶 全新商品 台灣公司貨,325,4.8,1.4,93%,13200,100,0 ,1 
魅聲麥克風/直播麥克風/3c批發小鋪,【Remax】多合一 行動電源 15000mAh PD QC3.0 18W快充行動電源,531,4.5,1.5,100%,1166,100,4.7 ,278 
DR.MANGO,DR.ORANGE 觸碰智能雙向即時口譯拍照翻譯神器,172,4.4,0.9,100%,1656,100,4.2 ,68 
好buy家電生活館,【寶馬牌】 35人份 5.4L 營業用 炊飯 電子鍋 SHW-540,461,4.8,0.9,100%,6479,100,5 ,16 
海山媽咪團購網,REMAX睿量 無界3 22.5W 多兼容自帶線插頭行動電源15000mAh RPP-276,399,4.4,1,99%,1166,100,4.1 ,80 
GPS科技,KID１兒童定位智慧求救通話手錶 省錢大作戰 只要1699元！,8,4.7,0.8,97%,1478,100,4.9 ,44 
鵬博量販百貨,便攜式無線電動純原汁榨汁機 原汁機 果汁機 果汁杯 慢磨機 渣汁分離 USB充電,1440,4.3,0.5,100%,547,100,3.7 ,115 
BESTHOT,Besthot 四合一15000mAh超大容量 速充行動電源（三代）,106,4.6,0.6,99%,1201,100,4.7 ,85 
咖啡時光,junior 電動奶泡器 不鏽鋼杯款 250cc 牛奶發泡器 冷/熱電動奶泡機 分離式/好清洗,155,4.8,0.5,100%,2646,100,4.9 ,69 
林伯家電特賣,Tiger虎牌 壓力IH炊飯6人份電子鍋 (JPK-G10R),864,4.7,0.9,100%,12990,100,0 ,1 
F.C購物集中營,【F.C】智能定時乾果機 12層大容量 果乾機 食物乾燥機 乾果機 乾燥 溫控乾果機 水果乾,244,4.6,0.4,100%,6546,100,0 ,3 
LEGENT麗晶科技家電,【日本SONGEN】松井無葉循環負離子冰晶空調扇/水冷扇/循環扇/清淨機(ZW-221KDY),230,4.5,0.8,100%,4292,100,5 ,8 
就便宜購物網,（擴充用子機）Panasonic國際牌 KX-TGCA28TW 中文顯示數位無線電話擴充子機,247,4.7,0.7,100%,1274,100,5 ,223 
Future Lab. 未來實驗室,【Future Lab. 未來實驗室】 AbsolutePure A1 直飲濾水器 過濾器 淨水器,39,4.7,1.1,99%,1842,100,0 ,13 
佳美百事購有限公司,【德國百靈BRAUN】三鋒系列電動刮鬍刀/電鬍刀 310s,522,4.7,1.6,100%,1760,100,5 ,47 
Aibo 3C生活館,Slimca 超薄錄音卡(專屬APP)MIT台灣製-金耀黑,398,4.6,1,100%,3124,100,4 ,4 
BESTHOT,Besthot 四合一15000MAH超大容量 速充行動電源（一代）,106,4.6,0.6,99%,1130,100,4.4 ,236 
小蔡電器-免比價最低價,聲寶【SR-C14Q(R6)】140公升雙門冰箱紫燦銀,5546,4.7,1.9,100%,11990,100,0 ,2 
來而康長照輔具市集(本店開立統一發票),來而康 WELL-DAY 晶晏 動力式熱敷墊 多層石墨烯熱敷墊 WD-GH330 40X70,1449,4.8,0.8,100%,2980,100,5 ,9 
米朵米朵,12h現貨 免運 無渣免濾豆漿機 110V大容量破壁機 可拆卸更換刀 攪拌機 絞肉機 輔食機 榨汁機,683,4.1,5.2,100%,2449,100,5 ,14 
WBC,【Hiles氣旋式熱風家用烘豆機VER2.0】咖啡機 烘豆機 烘焙機 磨豆機 研磨器 多功能烘焙機,673,4.6,0.8,99%,4115,100,5 ,22 
Future Lab. 未來實驗室,【Future Lab. 未來實驗室】6S 手足修磨儀 磨腳皮 修指甲,39,4.7,1.1,99%,699,100,4.7 ,948 
林伯家電特賣,【虎牌】10人份Tacook微電腦電子鍋 JBV-S18R,864,4.7,0.9,100%,2990,100,5 ,54 
維生活,Electrolux伊萊克斯一級能效10L清淨除濕機 EDH10TRBW1 坪數5到10坪,150,4.6,1,100%,11590,100,4 ,8 
Roommi,ROOMMI 美型輕量除濕機 防潮濕 迷你除濕機 更衣室除濕抗潮,78,4.7,0.9,100%,2680,100,4.6 ,199 
品品家電生活館,SANLUX台灣三洋129公升一級變頻雙門電冰箱 SR-C130BV1~含拆箱定位+舊機回收,1536,4.6,1,100%,11450,100,0 ,1 
晶讚企業社,iWALK 星鑽直插式行動電源 加長版 質感升級 4500豪安 口袋寶 Type-c iphone,251,4.6,0.8,100%,760,100,4.8 ,69 
小P家電,Panasonic 國際牌 10人份IH蒸氣式微電腦電子鍋 SR-SAT182,47,4.8,2.7,100%,11760,100,5 ,1 
林伯家電特賣,【防潮家】150公升電子防潮箱 (FD-150WC 時尚型 長效除濕),864,4.7,0.9,100%,11590,100,0 ,3 
小蔡電器-免比價最低價,AOC美國【32M3390】32吋電視(無安裝),5546,4.7,1.9,100%,3781,100,0 ,4 
GM數位生活館,小米 米家 無線吸塵器2 Lite 手持吸塵器 小米吸塵器 家用吸塵器 除塵器 無線吸塵器,53,4.4,0.7,99%,2930,100,5 ,24 
品品家電生活館,SANLUX台灣三洋258L上掀式冷凍櫃 SCF-258GE~含拆箱定位,1536,4.6,1,100%,11290,100,0 ,1 
泰昀嚴選電器購物城,【SAKURA 櫻花】F0193 RO淨水器專用濾心-二年份《7支入》★適用P0230 ★含RO膜,95,4.8,1.7,100%,11250,100,0 ,1 
好buy家電生活館,【ZOJIRUSHI 象印】 NS-RDF18 10人份 機械式 電子鍋,461,4.8,0.9,100%,2799,100,5 ,15 
就癮吧！生活潮流,SUITU 3IN1無線吸塵王 手持無線吸塵器 帶燈車家兩用12000Pa超大吸力 尊享款附8配件,1221,4.2,0.7,93%,1175,100,4 ,25 
好buy家電生活館,【ZOJIRUSHI 象印】CD-LPF40 4L 微電腦 電熱水瓶 可沖泡牛奶 日本製,461,4.8,0.9,100%,2763,100,4.9 ,53 
SW居家保健網,(贈東元體重機) 歐姆龍藍牙體重體脂肪計 HBF-702T,76,4.8,0.8,100%,5696,100,5 ,112 
創意優居,【免運】三合一電動恆溫泡腳機 電動按摩足浴機 按摩機 泡腳桶 足療機 洗腳盆 泡腳機 腳底按摩 泡腳,241,4.7,1.5,100%,1940,100,4.9 ,21 
光影科技,B.Friend KB700S 鋁合金雙模有線鍵盤(商品含中文注音符號),32,4.8,0.7,100%,869,100,4.8 ,87 
Rewatt 綠瓦數位電熱水器,【ReWatt 綠瓦】變頻恆溫數位電熱水器(QR-100),12,5,1.1,100%,11136,100,0 ,2 
好buy家電生活館,【大同電鍋】11人份 220V 異電壓 全不銹鋼 電鍋 全配 台灣製造 TAC-11T-NMV2,461,4.8,0.9,100%,5389,100,5 ,3 
LEGENT麗晶科技家電,【TECO東元】10000BTU智能型冷暖除溼淨化移動式冷氣(XYFMP-2805FH贈14吋立扇),230,4.5,0.8,100%,11113,100,5 ,1 
昌運科技監視器,Hometek HA-8117E 7吋 彩色影像室內對講機 可設五只副機 影像切換功能,2589,4.6,0.9,99%,11074,100,0 ,1 
好buy家電生活館,【友情】 119公升 大容量 防蟑防爆 紫外線殺菌 四層 烘碗機 台灣製造 PF-6380,461,4.8,0.9,100%,5359,100,5 ,29 
雙寶居家保健生活館,【送全聯禮券100】SUMO 舒摩熱敷墊 14x27 濕熱電毯 電熱毯,83,4.8,0.7,100%,1378,100,4.8 ,178 
百科數位3C,HP CF276A(76A) 黑色原廠碳粉匣 適用M404dn /M404 /M428fdn,281,4.9,0.7,100%,3675,100,0 ,4 
必購網,台灣品牌 JB-305 1/2HP 絞肉機 碎肉機 攪肉機 電動碎肉機 電動絞肉機 絞肉器 餐廚用品,2846,4.8,1.3,100%,10976,100,0 ,1 
家適帝 JUSTY,【家適帝】牙齒保健-專業十段高壓脈衝沖牙機,173,4.4,0.9,100%,974,100,4.3 ,312 
Fashion數位家電,送氣墊梳+收納袋！【國際牌Panasonic】極潤奈米水離子吹風機 EH-NA0J-P(琉光粉),289,4.8,0.7,100%,10600,100,0 ,1 
歐洲精品家電,Mistral 美寧 直吹式免排熱管多功能移動式空調 豪華型 JR-AC4S,66,4.7,1,100%,10770,100,5 ,8 
SJ&J,微軟 Microsoft Surface Pro8 13吋 專用高質感可裝鍵盤平板電腦皮套 保護套,195,4.5,0.6,100%,539,100,0 ,24 
林伯家電特賣,象印 10人份IH微電腦電子鍋(NP-ZAF18),864,4.7,0.9,100%,10600,100,5 ,2 
好buy家電生活館,【寶島】10公斤 脫水機 不銹鋼內槽 PT-3000 台灣製造,461,4.8,0.9,100%,3449,100,5 ,9 
GOOFINDS 谷凡生活,【GOOFINDS】太陽能無線監視器 Wifi攝影機 監視器 無線使用 居家監視器 智能追蹤,4,5,0.9,100%,2601,100,5 ,5 
123樂購網,【IDEAL 愛迪爾】4.2kg 超大容量 洗脫兩用 雙槽 迷你洗衣機 (E0731G Plus),8,4.6,0.8,99%,2580,100,4.5 ,225 
